Title,Category,Release date,Ratings,Metascore,Page URL
,movie,"FEB 20, 2004",PG,33,https://www.metacritic.com/movie/confessions-of-a-teenage-drama-queen/
Jenny's Wedding,movie,"JUL 31, 2015",PG-13,33,https://www.metacritic.com/movie/jennys-wedding/
Cat Run,movie,"APR 1, 2011",R,33,https://www.metacritic.com/movie/cat-run/
Being Human,movie,"MAY 6, 1994",PG-13,33,https://www.metacritic.com/movie/being-human/
The Longest Ride,movie,"APR 10, 2015",PG-13,33,https://www.metacritic.com/movie/the-longest-ride/
Like a Boss,movie,"JAN 10, 2020",R,33,https://www.metacritic.com/movie/like-a-boss/
Red Roses and Petrol,movie,"JUN 27, 2008",R,33,https://www.metacritic.com/movie/red-roses-and-petrol/
Can't Stand Losing You: Surviving the Police,movie,"MAR 20, 2015",Not Rated,33,https://www.metacritic.com/movie/cant-stand-losing-you-surviving-the-police/
God's Not Dead: A Light in Darkness,movie,"MAR 30, 2018",PG,33,https://www.metacritic.com/movie/gods-not-dead-a-light-in-darkness/
Leap Year,movie,"JAN 8, 2010",PG,33,https://www.metacritic.com/movie/leap-year/
Fatal Instinct,movie,"OCT 29, 1993",PG-13,33,https://www.metacritic.com/movie/fatal-instinct/
Garmento,movie,"JUN 6, 2003",N/A,33,https://www.metacritic.com/movie/garmento/
Chlorine,movie,"FEB 28, 2014",Not Rated,33,https://www.metacritic.com/movie/chlorine/
 The Punisher,movie,"APR 16, 2004",R,33,https://www.metacritic.com/movie/the-punisher/
High School High,movie,"OCT 25, 1996",PG-13,33,https://www.metacritic.com/movie/high-school-high/
The January Man,movie,"JAN 13, 1989",R,33,https://www.metacritic.com/movie/the-january-man/
The Shack,movie,"MAR 3, 2017",PG-13,32,https://www.metacritic.com/movie/the-shack/
The Fan,movie,"AUG 16, 1996",R,32,https://www.metacritic.com/movie/the-fan/
Euphoria,movie,"JUN 28, 2019",R,32,https://www.metacritic.com/movie/euphoria/
The Wedding Date,movie,"FEB 4, 2005",PG-13,32,https://www.metacritic.com/movie/the-wedding-date/
The Brothers Solomon,movie,"SEP 7, 2007",R,32,https://www.metacritic.com/movie/the-brothers-solomon/
The Undefeated,movie,"JUL 15, 2011",PG-13,32,https://www.metacritic.com/movie/the-undefeated/
The Ex,movie,"MAY 11, 2007",PG-13,32,https://www.metacritic.com/movie/the-ex/
Every Thing Will Be Fine,movie,"DEC 4, 2015",Not Rated,32,https://www.metacritic.com/movie/every-thing-will-be-fine/
October Baby,movie,"MAR 23, 2012",PG-13,32,https://www.metacritic.com/movie/october-baby/
Regression,movie,"FEB 5, 2016",R,32,https://www.metacritic.com/movie/regression/
Kill by Inches,movie,"OCT 26, 2001",Unrated,32,https://www.metacritic.com/movie/kill-by-inches/
It's All About Love,movie,"OCT 29, 2004",R,32,https://www.metacritic.com/movie/its-all-about-love/
The Sweetest Thing,movie,"APR 12, 2002",R,32,https://www.metacritic.com/movie/the-sweetest-thing/
Not Another Teen Movie,movie,"DEC 14, 2001",R,32,https://www.metacritic.com/movie/not-another-teen-movie/
September Tapes,movie,"SEP 24, 2004",R,32,https://www.metacritic.com/movie/september-tapes/
,movie,"JUN 27, 2014",PG-13,32,https://www.metacritic.com/movie/transformers-age-of-extinction/
Legion,movie,"JAN 22, 2010",R,32,https://www.metacritic.com/movie/legion/
